st1,st2,st3,lon,lat,area
950104,960501,950106,141.39871006153197,44.814591140028604,
020859,020864,950109,145.06431205134,43.955018901849,219539404.31825393
940004,020864,020859,144.89424479976597,43.9205246019573,426306089.6241481
940002,960503,020859,143.93005668488698,44.235056240981095,
960504,020854,020858,142.857016486305,44.208473479189806,344854774.3796414
020854,960504,940002,143.064639681909,44.3148752712798,242632507.07855913
02P122,021059,021080,132.074819650488,32.6979266779869,
960743,960739,960698,127.517295181848,28.5188066394528,
960739,960736,960698,127.919224178262,28.717672700857797,
960734,960729,960698,129.060288393762,30.019076786433903,
960736,960734,960698,128.47345056008098,29.128885004514895,
960746,960731,950497,130.83605572926902,26.716019379875096,
960731,960732,950497,130.379770159056,27.4960242412548,
960692,960691,960698,128.91084818261098,32.921937752305794,
960729,950487,960698,129.36058043822098,31.3362943828341,
950456,950408,960668,130.512816176457,34.568044413843594,
960550,93022,02P213,141.496717149843,33.7037836532298,
950106,970783,940003,141.56949864763197,44.320150961991295,482055987.36456573
940008,970783,950106,141.48752693895597,44.138855649002394,
950104,970781,020852,141.84382476560998,44.754066658415404,295934434.3462373
970781,950106,940003,141.612600287037,44.4838589415561,461303992.22140956
970781,950104,950106,141.607629134202,44.6486792665419,
950104,970778,960501,141.488092092435,45.078804483051904,
970778,02P201,950102,141.42644878738201,45.2966542385643,
960501,970778,950102,141.25372070858398,45.20662731182399,306869384.7859391
970778,940001,02P201,141.663832506636,45.3389915154132,55084018.78268542
020851,950104,020852,141.919771860141,44.8461038961045,214423954.11745596
020855,970782,020852,142.044266802735,44.470896182295,704529735.1081986
020855,970781,940003,141.79328698989298,44.4474010590423,137570351.1397729
970781,020855,020852,141.887411763141,44.562486597337504,383043530.30620986
970783,020855,940003,141.75018535048798,44.283693079477494,160661340.6867905
960503,020856,950111,143.423642174736,44.157648918820804,290141644.89111966
020856,960503,940002,143.387138638788,44.3003233132878,167388663.46589264
020856,960504,950111,143.244043133103,44.148389926812605,316812465.7114771
960504,020856,940002,143.207539597155,44.2910643212796,263611347.4479978
950103,020859,950101,143.21912028563702,44.79660519113669,
950103,940002,020859,143.570565904227,44.4959218998063,
020854,950107,020858,142.70662154397,44.24267857867109,243508131.57933974
02P118,960645,950382,134.064325286694,35.8298089990995,
940075,950383,960668,132.10204013816698,35.283260287436704,
950383,950456,960668,131.193159745296,35.167518350121306,
